archivo,prompt,brisque,clip
cafe_largo_seed42.png,"A glass carafe of specialty pour-over coffee pouring into a wooden mug, golden ratio, cozy cafe setting, afternoon sunlight, photorealistic.",25.430600998797757,29.84035873413086
fantasia_medio_seed123.png,A fantasy knight with a glowing sword in a dark forest.,26.228903865259525,33.86736297607422
adv_abstracto_seed42.png,The feeling of nostalgia on a Tuesday afternoon.,39.90279508472585,25.652315139770508
cafe_corto_seed999.png,A cup of coffee.,27.851041513138824,28.56475257873535
espacio_medio_seed999.png,A metallic spaceship landing on a strange alien planet.,13.309750241788919,28.904111862182617
musica_corto_seed999.png,A wooden cello.,17.848549036647654,29.78516960144043
musica_largo_seed123.png,"A highly detailed vintage wooden cello resting on a grand concert hall stage, illuminated by a dramatic warm spotlight, cinematic lighting, 8k resolution.",40.949475770950784,33.20611572265625
espacio_largo_seed123.png,"A futuristic almighty spaceship exploring a vibrant alien planet with vibrant jungles and multiple moons in the sky, high quality, masterpiece.",14.627181776148262,31.578784942626953
espacio_largo_seed42.png,"A futuristic almighty spaceship exploring a vibrant alien planet with vibrant jungles and multiple moons in the sky, high quality, masterpiece.",9.463956716202091,31.85239028930664
fantasia_largo_seed42.png,"A heavily armored fantasy knight holding a glowing magical sword, standing in a dense magical forest, fog, highly detailed, open world RPG concept art, digital painting.",11.5383626234578,36.42000961303711
espacio_medio_seed123.png,A metallic spaceship landing on a strange alien planet.,16.096526026123087,28.651859283447266
libro_medio_seed999.png,An open book with pages seemingly old written in an old language.,18.785244854346928,29.961212158203125
adv_espacial_seed42.png,A cat sitting above a dog that is below a bird that is inside a box.,20.400191886340593,32.990089416503906
libro_corto_seed42.png,An open book.,19.825340984523308,27.01579475402832
libro_corto_seed999.png,An open book.,17.903034161089266,27.58465003967285
musica_corto_seed123.png,A wooden cello.,11.282418966442464,31.286897659301758
fantasia_corto_seed123.png,A fantasy knight.,6.12846646430782,27.458410263061523
fantasia_corto_seed42.png,A fantasy knight.,13.898881773925353,28.87428092956543
musica_medio_seed42.png,A wooden cello resting on a stage under a spotlight.,53.673026578270736,33.325740814208984
musica_medio_seed123.png,A wooden cello resting on a stage under a spotlight.,38.299402031982,33.22457504272461
fantasia_medio_seed42.png,A fantasy knight with a glowing sword in a dark forest.,21.837447358630214,33.08113479614258
musica_largo_seed999.png,"A highly detailed vintage wooden cello resting on a grand concert hall stage, illuminated by a dramatic warm spotlight, cinematic lighting, 8k resolution.",38.659207606586364,35.546226501464844
cafe_medio_seed123.png,A cup of specialty pour-over coffee on a wooden table.,39.475804335605034,29.951892852783203
fantasia_largo_seed999.png,"A heavily armored fantasy knight holding a glowing magical sword, standing in a dense magical forest, fog, highly detailed, open world RPG concept art, digital painting.",13.910162272500855,37.532649993896484
adv_contradiccion_seed42.png,A silent loud explosion in a bright dark room.,17.964119508323364,29.10304069519043
cafe_largo_seed999.png,"A glass carafe of specialty pour-over coffee pouring into a wooden mug, golden ratio, cozy cafe setting, afternoon sunlight, photorealistic.",36.019241372372875,29.271738052368164
espacio_medio_seed42.png,A metallic spaceship landing on a strange alien planet.,13.642526982946691,29.106565475463867
libro_corto_seed123.png,An open book.,26.559743919125907,27.484132766723633
libro_largo_seed999.png,"An ancient, thick open book resting on a dusty wooden desk in a dimly lit library, its yellowed parchment pages filled with classical German literary text in ornate Gothic script, illuminated by a warm flickering candle, macro photography, highly detailed, 8k resolution.",17.05482338668716,31.69829750061035
musica_largo_seed42.png,"A highly detailed vintage wooden cello resting on a grand concert hall stage, illuminated by a dramatic warm spotlight, cinematic lighting, 8k resolution.",38.66480132211788,36.882652282714844
libro_largo_seed42.png,"An ancient, thick open book resting on a dusty wooden desk in a dimly lit library, its yellowed parchment pages filled with classical German literary text in ornate Gothic script, illuminated by a warm flickering candle, macro photography, highly detailed, 8k resolution.",28.399677878413826,31.948026657104492
cafe_corto_seed123.png,A cup of coffee.,13.01156912667463,29.068552017211914
fantasia_largo_seed123.png,"A heavily armored fantasy knight holding a glowing magical sword, standing in a dense magical forest, fog, highly detailed, open world RPG concept art, digital painting.",16.500951217461846,37.898681640625
libro_medio_seed123.png,An open book with pages seemingly old written in an old language.,27.030339477761316,29.97997283935547
cafe_medio_seed999.png,A cup of specialty pour-over coffee on a wooden table.,24.815681721297977,29.27461814880371
cafe_corto_seed42.png,A cup of coffee.,19.342331634103374,28.485366821289062
espacio_corto_seed42.png,A spaceship.,16.305832562795985,27.793685913085938
libro_medio_seed42.png,An open book with pages seemingly old written in an old language.,10.025316957095441,27.461435317993164
fantasia_medio_seed999.png,A fantasy knight with a glowing sword in a dark forest.,17.048943768856333,32.56287384033203
espacio_corto_seed999.png,A spaceship.,19.32076949789152,27.05278968811035
espacio_largo_seed999.png,"A futuristic almighty spaceship exploring a vibrant alien planet with vibrant jungles and multiple moons in the sky, high quality, masterpiece.",18.76313050228279,30.799739837646484
espacio_corto_seed123.png,A spaceship.,11.355302033211018,27.182157516479492
fantasia_corto_seed999.png,A fantasy knight.,9.328256803175776,27.91431427001953
cafe_medio_seed42.png,A cup of specialty pour-over coffee on a wooden table.,30.92654335672941,28.678157806396484
cafe_largo_seed123.png,"A glass carafe of specialty pour-over coffee pouring into a wooden mug, golden ratio, cozy cafe setting, afternoon sunlight, photorealistic.",26.831974596121512,29.093791961669922
musica_corto_seed42.png,A wooden cello.,14.34890341926561,32.10201644897461
musica_medio_seed999.png,A wooden cello resting on a stage under a spotlight.,31.363376641475583,34.784149169921875
libro_largo_seed123.png,"An ancient, thick open book resting on a dusty wooden desk in a dimly lit library, its yellowed parchment pages filled with classical German literary text in ornate Gothic script, illuminated by a warm flickering candle, macro photography, highly detailed, 8k resolution.",33.883405717618615,32.94535827636719
